spike_length,num_grains,awn_length,awn_density,mean_hue,grain_size_mean,texture_contrast,grain_density,label
2929,2,2971.3905148506165,67321,61.817519543946176,167.38095238095238,65.98839769571889,0.0006828269033799932,0
2929,2,2979.9763083457947,67794,61.81202528795654,162.3657524359437,49.64535614668914,0.0006828269033799932,0
2929,2,2980.3905218839645,67787,61.812808772688264,162.27826871055004,49.64597525104328,0.0006828269033799932,0
2992,2,4665.7568163871765,108743,64.01136065661028,169.91046228710462,81.2278571447753,0.0006684491978609625,0
2992,2,4492.082718014717,109727,63.994396531397946,169.1951219512195,99.55003276229078,0.0006684491978609625,0
2992,2,1288.1320307254791,47801,74.3375045569273,263.9374435002712,52.87556192699559,0.0006684491978609625,0
2992,2,4687.898951649666,108833,64.00401664616365,169.89052870580602,81.22948306296985,0.0006684491978609625,0
2992,2,4490.082718014717,109725,63.994396531397946,169.1951219512195,99.55003298607693,0.0006684491978609625,0
2992,2,4492.325358629227,109582,63.98262009975876,168.83994197292068,99.55076666893436,0.0006684491978609625,0
2642,2,3870.5234005451202,85711,63.82782228720262,177.97848410757948,56.81276317249973,0.000757002271006813,0
2642,2,3738.415755867958,85720,63.80998139365533,172.5382427307206,81.07256757893832,0.000757002271006813,0
2642,2,3872.523402094841,85652,63.845381348861714,178.09427499592235,56.81310813883334,0.000757002271006813,0
2642,2,3736.415755867958,85702,63.80998139365533,172.5382427307206,81.0725639983601,0.000757002271006813,0
2642,2,3738.6583964824677,85664,63.82251027832065,172.45695782656767,81.07119386772271,0.000757002271006813,0
2797,2,1686.675309419632,50526,64.32748624739729,192.65884706310237,45.190933103161825,0.0007150518412584912,0
2797,2,1682.5331736803055,50480,64.32207923706953,186.59475167312434,60.6794833091346,0.0007150518412584912,0
2992,2,1202.084468126297,11099,65.11080159399118,201.37316957959376,27.38923369359918,0.0006684491978609625,0
2797,2,1686.6753091812134,50552,64.32216689676095,192.79654231119198,45.19015130628446,0.0007150518412584912,0
2797,2,1682.1189601421356,50481,64.32207923706953,186.59475167312434,60.6794833091346,0.0007150518412584912,0
2797,2,2107.5890822410583,50469,64.31941714773488,186.55643599225215,60.67764132542264,0.0007150518412584912,0
2992,2,2719.574805021286,72704,66.96102971933253,168.87269756387403,65.89647283952385,0.0006684491978609625,0
2992,2,2720.4326696395874,72455,66.96578534044882,167.11553726297223,68.8347540769359,0.0006684491978609625,0
2992,2,2712.6042425632477,72741,66.95947102755166,169.0777810826889,65.8961324608061,0.0006684491978609625,0
2992,2,2718.846883058548,72472,66.96581198308688,167.11553726297223,68.834755867225,0.0006684491978609625,0
2992,2,2718.775815486908,72474,66.94720124918649,167.06671565025715,68.83514167452903,0.0006684491978609625,0
2917,2,3651.0330786705017,58560,65.07975649169866,225.86209761163033,59.866491091521375,0.0006856359273225917,0
2917,2,3829.128535270691,58852,65.07862778991287,223.4129005751849,56.5863910725443,0.0006856359273225917,0
2663,2,1790.0743638277054,29792,67.54289685582822,219.61256544502618,44.466649151671504,0.0007510326699211416,0
2917,2,3652.104146361351,58603,65.08028751610497,225.43905472636817,59.86696238513058,0.0006856359273225917,0
2917,2,3787.501118659973,58867,65.07862778991287,223.4129005751849,56.58639129633044,0.0006856359273225917,0
2917,2,3831.028029561043,58754,65.07148423387119,222.7744776730848,56.58472711070613,0.0006856359273225917,0
2992,2,1437.1341180801392,32518,64.23702747582811,163.7392140697994,39.03754918819341,0.0006684491978609625,0
2992,2,1579.8153574466705,33047,64.23846247059674,156.89402317008953,60.41040665969648,0.0006684491978609625,0
2992,2,1438.9625451564789,32626,64.23848991344948,163.73935147018412,39.03751136833587,0.0006684491978609625,0
2992,2,1577.9869303703308,33067,64.23846247059674,156.89402317008953,60.41040800241331,0.0006684491978609625,0
2992,2,1579.8153574466705,33086,64.23679189298377,156.692085195898,60.413023391022406,0.0006684491978609625,0
